title,review_score,title_num_words,contains_subheading
"""A"" IS FOR ALIBI",3.672727272727273,4,0
"""Ah so!"": Japanese for kids",1.0,5,1
"""Beatles"" Illustrated Lyrics",4.384615384615385,3,0
"""C"" Language",4.0,2,0
"""C"" is for Corpse (A Kinsey Millhone mystery, Book 3)",4.17,10,0
"""Call me mister.""",4.5,3,0
"""Charlie needs a cloak""",5.0,4,0
"""Chosen"" Classics: Round the World in Eighty Days",3.0,8,1
"""Come to Me""",5.0,3,0
"""Could Be Worse!"" (Reading Rainbow Library)",4.7272727272727275,6,0
"""D"" is for Deadbeat",4.388059701492537,4,0
"""Forget Not Love"": The Passion of Maximilian Kolbe",5.0,8,1
"""Gizelle, Save the Children!""",5.0,4,0
"""Happiness Is Not My Companion"": The Life of General G. K. Warren",4.833333333333333,12,1
"""I Will Fight No More Forever"": Chief Joseph and the Nez Perce War",4.4,13,1
"""I'm Not Cute!""",4.555555555555555,3,0
"""I, the Jury""",4.228571428571429,3,0
"""Just Wait Till You Have Children of Your Own!""",4.444444444444445,9,0
"""Life Was Never Meant to Be a Struggle""",4.473684210526316,8,0
"""Lord Change Me!""",5.0,3,0
"""Love Your Enemies"": Jesus' Love Command in the Synoptic Gospels and in the Early Christian Paraenesis : A History of the Tradition and Interpretatio",4.333333333333333,24,1
"""Mildred Pierce",3.6666666666666665,2,0
"""Mom, Dad . . . I'm Pregnant"": When Your Daughter or Son Faces an Unplanned Pregnancy (TH1NK LifeChange)",4.8,18,1
"""Mom, I Hate My Life!"": Becoming Your Daughter's Ally Through the Emotional Ups and Downs of Adolescence (A Hand-in-Hand Book)",4.625,20,1
"""National Velvet""",3.739130434782609,2,0
"""Ra Force Rising"": Brother G (Shades of Memnon)",4.833333333333333,8,1
"""Stand back,"" said the elephant, ""I'm going to sneeze!""",4.875,9,0
"""Takin' it to the streets"": A Sixties Reader",3.25,8,1
"""The Best Mistake Ever and Other Stories",4.928571428571429,7,0
"""The General Danced at Dawn",5.0,5,0
"""The Jukes"": A Study in Crime, Pauperism, Disease and Heredity : Also, Further Studies of Criminals",4.0,16,1
"""The Super Short, Amazing Story of Daniel in the Lions' Den""",5.0,11,0
"""The Super Short, Amazing Story of David & Goliath""",5.0,9,0
"""Then Junior Said to Jeff. . ."": The Best NASCAR Stories Ever Told (Best Sports Stories Ever Told)",4.1,18,1
"""Time Out"" Film Guide",4.157894736842105,4,0
"""Why Should White Guys Have All the Fun"": How Reginald Lewis Created a Billion-Dollar Business Empire",4.696428571428571,16,1
"""Why do I have to learn this stuff?"" Misinformation and the American High-School Literature Textbook",4.0,15,0
'A Hell of a Place to Lose a Cow': An American Hitchhiking Odyssey,3.3,13,1
'Filming of Gone With the Wind',4.0,6,0
'Gator,2.0,1,0
'Isa Wa Maryam Fi-I Qur'an Wu-I Tafasir/Jesus and Mary in the Qur'an and Qur'Anic Exegesis (Arabic Edition),5.0,17,0
'Morning Has Broken',5.0,3,0
'Pataphysics: The Poetics of an Imaginary Science (Avant-Garde & Modernism Studies),1.0,11,1
'Scuse Me While I Kiss This Guy 2002 Day-To-Day Calendar,1.3333333333333333,10,0
'Tis the Season to Be Murdered,4.5,6,0
"'night, Mother: A Play (Mermaid Dramabook)",4.8,6,1
*OP Diablerie Compilation (Vamphire - the Masquerade),4.0,7,0
*OP Hunter Book: Judge,4.0,4,1
*OP Ravenloft Tarokka Deck,5.0,4,0
"... Archaeology and the Bible, (Green fund book)",5.0,8,0
... Dancers in mourning,4.5,4,0
"... Eothen,",3.888888888888889,2,0
... His Book,3.5,3,0
... Lights out,4.0,3,0
... Summer moonshine,4.75,3,0
...And From the Ashes,5.0,4,0
...If You Grew up with George Washington,4.571428571428571,7,0
...Or Not to Be: A Collection of Suicide Notes,4.0,9,1
"...The Heavens & the Earth, A Political History of the Space Age",4.416666666666667,12,0
...y no se lo trag la tierra / ...And the Earth Did Not Devour Him,4.25,15,0
".Hack: //Legend of the Twilight, Vol. 1",4.258064516129032,7,1
.NET Framework Essentials (O'Reilly Programming Series),3.9523809523809526,6,0
.NET Multithreading,3.4444444444444446,2,0
.NET Security,3.75,2,0
.NET for Java Developers: Migrating to C#,5.0,7,1
.hack//AI buster 1 (v. 1),4.571428571428571,5,0
1 And 2 Kings: An Introduction and Commentary (Tyndale Old Testament Commentaries),5.0,12,1
1 And 2 Samuel: An Introduction and Commentary (Tyndale Old Testament Commentaries),3.0,12,1
1 Corinthians (LifeChange),4.5,3,0
1 Corinthians (MacArthur Bible Studies),4.666666666666667,5,0
1 Corinthians (The NIV Application Commentary),3.857142857142857,6,0
1 FOR THE MONEY,3.6666666666666665,4,0
1 Peter (LifeChange),4.5,3,0
1 Proven Method of Quitting Smoking... HYPNOSIS,3.6666666666666665,7,0
1 Ragged Ridge Road,4.277777777777778,4,0
"1 and 2 Timothy, Titus (A Good news commentary)",4.5,9,0
1 is one,4.866666666666666,3,0
"1, 2 Kings (Bible study commentary series)",4.0,7,0
"1, 2, I Love You",5.0,5,0
"1,000 Common Delusions: And the Real Facts Behind Them",2.0,9,1
"1,000 Indian Recipes",4.704545454545454,3,0
"1,000 More Jokes for Kids",3.3333333333333335,5,0
"1,000 Places to See Before You Die: A Traveler's Life List",3.696275071633238,11,1
"1,000 Vegetarian Recipes",4.543859649122807,3,0
1-2 Corinthians (Ancient Christian Commentary on Scripture),3.5,7,0
1-2 Timothy and Titus: To Guard the Deposit (Preaching the Word),5.0,11,1
1-2-3 MAGIC: EFFECTIVE DISCIPLINE FOR CHILDREN 2-12,4.7894736842105265,7,1
10 Button Book,3.142857142857143,3,0
10 Commanandments (Lifeguide Bible Studies),5.0,5,0
10 Conversations You Need to Have with Your Children,4.379310344827586,9,0
10 Days to Faster Reading,3.9722222222222223,5,0
10 Essentials of Highly Healthy People,5.0,6,0
10 Stupid Things Couples Do To Mess Up Their Relationships,3.8552631578947367,10,0
"10,000 Dreams Interpreted or What's in a Dream",2.5416666666666665,8,0
"10,000 dreams interpreted: A dictionary of dreams",3.5,7,1
100 Amazing Facts About the Negro with Complete Proof (A Short Cut to the World History of the Negro),4.863636363636363,19,0
100 Amazing Facts About the Negro;,4.85,6,0
100 Best Album Covers,4.363636363636363,4,0
"100 Billion Suns: The Birth, Life, and Death of the Stars",4.75,11,1
100 Bullets Vol. 4: A Foregone Tomorrow,4.833333333333333,7,1
100 Careers in the Music Business,4.666666666666667,6,0
100 Days Of School,5.0,4,0
100 Days of Cool (MathStart 2),5.0,6,0
100 Favorite English and Irish Poems (Dover Thrift Editions),5.0,9,0
100 Flowers and How They Got Their Names,4.6923076923076925,8,0
100 Greatest Science Inventions of All Time,5.0,7,0
100 Hikes in Yosemite National Park,4.125,6,0
100 Men Who Shaped World History,5.0,6,0
100 One-Night Reads: A Book Lover's Guide,4.4,7,1
100 Planes 100 Years: The First Century of Aviation,2.0,9,1
100 Questions & Answers About Anxiety,5.0,6,0
100 Quick-to-Quilt Pot Holders,4.444444444444445,4,0
"100 Simple Ways to Become a More Inspired, Successful and Fearless Writer:",4.384615384615385,12,1
100 Things Every Writer Needs to Know,4.352941176470588,7,0
100 Top Houses From Down Under (100 of the Worlds Best),4.75,11,0
100 Vicious Little Vampire Stories,5.0,5,0
100 Ways to Build Self-Esteem and Teach Values,4.8,8,0
"100 Ways to Build Self-Esteem and Teach Values (Loomans, Diane)",4.8,10,0
100 Ways to Motivate Yourself,4.255102040816326,5,0
100 Ways to Strengthen & Unify Our Country,5.0,8,0
100 Women Who Shaped World History (Turtleback School & Library Binding Edition),3.6,12,0
100 Years of Harley Davidson,4.555555555555555,5,0
100 Years of Subatomic Humor,5.0,5,0
100 years of lynchings.,4.666666666666667,4,0
100%,4.833333333333333,1,0
1000 Best Casino Gambling Secrets,4.166666666666667,5,0
1000 Fruit Jars,4.0,3,0
1000 Glass Beads: Innovation & Imagination in Contemporary Glass Beadmaking (500 Series),4.857142857142857,12,1
1000 Great Cross Stitch Designs,3.0,5,0
1000 Historic Automobile Sites,5.0,4,0
1001 Albums You Must Hear Before You Die,3.46,8,0
1001 Best Things Ever Said About Horses,4.666666666666667,7,0
1001 Books You Must Read Before You Die,3.8313253012048194,8,0
1001 Golf Holes You Must Play Before You Die,3.857142857142857,9,0
1001 Great Jokes (Signet),3.0,4,0
1001 Hints & Tips for Your Garden : An Indispensable Guide to Easier and More Effective Gardening,4.761904761904762,17,1
"1001 Humorous Illustrations for Public Speaking: Fresh, Timely, and Compelling Illustrations for Preachers, Teachers, and Speakers",3.5714285714285716,16,1
1001 Legal Words You Need to Know (1001 Words You Need to Know),1.0,13,0
1001 Ways To Reward Employees,4.037735849056604,5,0
1001 Winning Chess Sacrifices and Combinations,4.213114754098361,6,0
